ID,Age,Gender,Angry,Disgust,Fear,Happy,Sad,Surprised,Neutral,Style1,VStyle1,Style2,VStyle2,Style3,VStyle3
dea34000,23,Male,0.030731034,0.005548494,0.022117457,0.001082208,0.293397808,0.003516735,0.643606262,Casual,0.164678433,Business,0.148946805,Denim,0.107989901
186bcda2,23,Male,0.030731034,0.005548494,0.022117457,0.001082208,0.293397808,0.003516735,0.643606262,Casual,0.164678433,Business,0.148946805,Denim,0.107989901
f5c31706,23,Male,0.030731034,0.005548494,0.022117457,0.001082208,0.293397808,0.003516735,0.643606262,Casual,0.164678433,Business,0.148946805,Denim,0.107989901
5c188468,23,Male,0.030731034,0.005548494,0.022117457,0.001082208,0.293397808,0.003516735,0.643606262,Casual,0.164678433,Business,0.148946805,Denim,0.107989901
9550a741,28,Male,0.070705347,0.001127517,0.019009993,0.002848057,0.324087486,0.009649439,0.572572174,Business,0.211614405,Casual,0.135411511,Denim,0.118664045
21967d0c,28,Male,0.070705347,0.001127517,0.019009993,0.002848057,0.324087486,0.009649439,0.572572174,Business,0.211614405,Casual,0.135411511,Denim,0.118664045
b58e8951,25,Male,0.038484578,0.002748577,0.085553312,0.029259889,0.511334534,0.018372414,0.314246655,Casual,0.170203296,Business,0.148116842,Bohemian,0.146014129
cc759f97,26,Male,0.000165295,3.15E-06,2.07E-05,0.998119049,1.90E-05,0.000357994,0.001314823,Casual,0.175677713,Business,0.159444999,Vintage,0.153646007
cc163b7b,26,Male,0.000165295,3.15E-06,2.07E-05,0.998119049,1.90E-05,0.000357994,0.001314823,Casual,0.175677713,Business,0.159444999,Vintage,0.153646007
b6395ecc,26,Male,0.000165295,3.15E-06,2.07E-05,0.998119049,1.90E-05,0.000357994,0.001314823,Casual,0.175677713,Business,0.159444999,Vintage,0.153646007
194533f0,26,Male,0.000165295,3.15E-06,2.07E-05,0.998119049,1.90E-05,0.000357994,0.001314823,Casual,0.175677713,Business,0.159444999,Vintage,0.153646007
13d281c7,26,Male,0.000165295,3.15E-06,2.07E-05,0.998119049,1.90E-05,0.000357994,0.001314823,Casual,0.175677713,Business,0.159444999,Vintage,0.153646007
7d3f5a88,26,Male,0.000165295,3.15E-06,2.07E-05,0.998119049,1.90E-05,0.000357994,0.001314823,Casual,0.175677713,Business,0.159444999,Vintage,0.153646007
e19d34f1,26,Male,0.000165295,3.15E-06,2.07E-05,0.998119049,1.90E-05,0.000357994,0.001314823,Casual,0.175677713,Business,0.159444999,Vintage,0.153646007
73eacba9,26,Male,0.000165295,3.15E-06,2.07E-05,0.998119049,1.90E-05,0.000357994,0.001314823,Casual,0.175677713,Business,0.159444999,Vintage,0.153646007
